Reference, Quantity, Value, Footprint, Datasheet, Voltage, Precision
TP302 ,1,5V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
TP303 ,1,-5V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
U101 ,1,74HC595,Package_SO:SOP-16_4.4x10.4mm_P1.27mm,http://www.ti.com/lit/ds/symlink/sn74hc595.pdf,,
U103 U104 U102 ,3,74HC4051,Package_SO:SOP-16_4.4x10.4mm_P1.27mm,http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf,,
U1901 U1902 U2001 U2002 U2101 U2102 U2201 U2202 U2301 U2302 U2401 U2402 U2501 U2502 U2601 U2602 U2701 U2702 U2801 U2802 ,20,TS1851ILT,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,https://www.st.com/resource/en/datasheet/ts1851.pdf,,
U1903 U2003 U2103 U2203 U2303 U2403 U2503 U2603 U2703 U2803 U3401 U3501 U3601 U3701 U2004 ,15,TLP290-4,e-Power:SOIC-16_4.55x10.3mm_P1.27mm(TLP290-4),https://toshiba.semicon-storage.com/info/docget.jsp?did=12855&prodName=TLP290-4,,
U201 U203 U204 ,3,TL431LP,Package_TO_SOT_SMD:SOT-23,http://www.ti.com/lit/ds/symlink/tl431.pdf,,
U202 U801 U501 U601 U701 U802 U901 U1001 U1101 U1201 U1301 ,11,LM324,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,,
U301 U302 U304 U305 ,4,LMC7660,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lmc7660.pdf,,
U303 ,1,LM317_3PinPackage,Package_TO_SOT_SMD:TO-252-3_TabPin2,http://www.ti.com/lit/ds/symlink/lm317.pdf,,
