Comment,Designator,Footprint,LCSC, LCSC, Power, Precision, Voltage
"100nF","C106,C103,C101,C107,C104,C102,C108,C113,C118,C126,C125,C115,C119,C120,C121,C122,C105,C116,C117,C206,C201,C207,C204,C209,C211,C301,C306,C309,C501,C502,C503,C601,C602,C603,C701,C702,C703,C801,C802,C803,C901,C902,C903,C1001,C1002,C1003,C1101,C1102,C1103,C1201,C1202,C1203,C1301,C1302,C1303,C1401,C1402,C1403,C1501,C1502,C1503,C1601,C1602,C1603,C1801,C1901,C2001,C2101,C2201,C2301,C3101","Capacitor_SMD:C_0805_2012Metric","","C49678","","10%","50V"
"12pF","C109,C110","Capacitor_SMD:C_0805_2012Metric","","C1792","","10%","50V"
"100pF","C112,C111","Capacitor_SMD:C_0805_2012Metric","","C1790","","10%","50V"
"10uF","C114,C123,C124,C127,C205,C208,C202,C203,C210,C302","Capacitor_SMD:C_0805_2012Metric","","C15850","","",""
"220uF","C303,C307,C304,C305,C308","Capacitor_SMD:CP_Elec_10x10",""
"SYM_LASER_Large","G105","Symbol:KiCad-Logo_12mm_SilkScreen",""
"SYM_ESD_Large","G106","Symbol:ESD-Logo_13.2x12mm_SilkScreen",""
"GND","H101,H102,H103,H104","e-Power:MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x08_Male","J101","e-Power:Molex_Mini-Fit_Jr_2x04_P4.20mm_Horizontal",""
"ST-LINK","J102","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"TEMP_IDC_26_CONN","J1701","Connector_IDC:IDC-Header_2x13_P2.54mm_Horizontal",""
"Current_Conn","J3101","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"BSPD_Conn","J3102","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"VOLT_IDC_26_CONN","J401","Connector_IDC:IDC-Header_2x13_P2.54mm_Horizontal",""
"Jumper","JP3101","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"0R","JP501,JP503,JP502,JP601,JP603,JP602,JP701,JP703,JP702,JP801,JP803,JP802,JP901,JP903,JP902,JP1001,JP1003,JP1002,JP1101,JP1103,JP1102,JP1201,JP1203,JP1202,JP1301,JP1303,JP1302,JP1401,JP1403,JP1402,JP1501,JP1503,JP1502,JP1601,JP1603,JP1602","e-Power:zero_ohm_resistor_0805","","","1/8W","1%","150V"
"MMBT3904","Q101","Package_TO_SOT_SMD:SOT-23","","C20526","","",""
"MMBT5401","Q201","Package_TO_SOT_SMD:SOT-23","","C8326","","",""
"Si2302DS","Q2501,Q2502,Q2503,Q2504,Q2601,Q2602,Q2603,Q2604,Q2701,Q2702,Q2703,Q2704,Q2801,Q2802,Q2803,Q2804,Q2901,Q2902,Q2903,Q2904,Q3001,Q3002,Q3003,Q3004","Package_TO_SOT_SMD:SOT-23",""
