Ref,Val,Package,PosX,PosY,Rot,Side
"R2653","100R","R_2512_6332Metric",34.120000,-84.356000,180.000000,bottom
"R2654","330R","R_0805_2012Metric",32.169000,-123.980000,0.000000,bottom
"R2655","330R","R_0805_2012Metric",31.376000,-69.486000,180.000000,bottom
"R2656","10K","R_0805_2012Metric",36.914000,-80.546000,90.000000,bottom
"R2701","1K","R_0805_2012Metric",43.427400,-18.538200,270.000000,bottom
"R2702","100R","R_2512_6332Metric",46.221400,-54.860200,180.000000,bottom
"R2703","100R","R_2512_6332Metric",46.221400,-50.796200,180.000000,bottom
"R2704","100R","R_2512_6332Metric",46.221400,-58.924200,180.000000,bottom
"R2705","100R","R_2512_6332Metric",46.221400,-46.732200,180.000000,bottom
"R2706","100R","R_2512_6332Metric",46.221400,-34.540200,180.000000,bottom
"R2707","100R","R_2512_6332Metric",46.221400,-42.640200,180.000000,bottom
"R2708","100R","R_2512_6332Metric",46.221400,-38.604200,180.000000,bottom
"R2709","100R","R_2512_6332Metric",46.221400,-30.476200,180.000000,bottom
"R2710","100R","R_2512_6332Metric",46.221400,-26.412200,180.000000,bottom
"R2711","100R","R_2512_6332Metric",46.221400,-22.348200,180.000000,bottom
"R2712","330R","R_0805_2012Metric",44.223400,-62.226200,0.000000,bottom
"R2713","330R","R_0805_2012Metric",67.861400,-13.574200,180.000000,bottom
"R2714","10K","R_0805_2012Metric",49.015400,-18.538200,90.000000,bottom
"R2715","1K","R_0805_2012Metric",51.555400,-18.538200,270.000000,bottom
"R2716","100R","R_2512_6332Metric",54.349400,-58.924200,180.000000,bottom
"R2717","100R","R_2512_6332Metric",54.349400,-54.860200,180.000000,bottom
"R2718","100R","R_2512_6332Metric",54.349400,-50.796200,180.000000,bottom
"R2719","100R","R_2512_6332Metric",54.349400,-46.732200,180.000000,bottom
"R2720","100R","R_2512_6332Metric",54.349400,-42.668200,180.000000,bottom
"R2721","100R","R_2512_6332Metric",54.349400,-26.384200,180.000000,bottom
"R2722","100R","R_2512_6332Metric",54.349400,-34.540200,180.000000,bottom
"R2723","100R","R_2512_6332Metric",54.349400,-38.604200,180.000000,bottom
"R2724","100R","R_2512_6332Metric",54.349400,-30.476200,180.000000,bottom
"R2725","100R","R_2512_6332Metric",54.349400,-22.348200,180.000000,bottom
"R2726","330R","R_0805_2012Metric",52.317400,-62.226200,0.000000,bottom
"R2727","330R","R_0805_2012Metric",67.861400,-11.542200,180.000000,bottom
"R2728","10K","R_0805_2012Metric",57.143400,-18.538200,90.000000,bottom
"R2729","1K","R_0805_2012Metric",59.683400,-18.538200,270.000000,bottom
"R2730","100R","R_2512_6332Metric",62.477400,-58.924200,180.000000,bottom
"R2731","100R","R_2512_6332Metric",62.477400,-54.860200,180.000000,bottom
"R2732","100R","R_2512_6332Metric",62.477400,-50.796200,180.000000,bottom
"R2733","100R","R_2512_6332Metric",62.477400,-42.668200,180.000000,bottom
"R2734","100R","R_2512_6332Metric",62.477400,-46.732200,180.000000,bottom
"R2735","100R","R_2512_6332Metric",62.477400,-26.384200,180.000000,bottom
"R2736","100R","R_2512_6332Metric",62.477400,-34.540200,180.000000,bottom
"R2737","100R","R_2512_6332Metric",62.477400,-30.476200,180.000000,bottom
"R2738","100R","R_2512_6332Metric",62.477400,-22.348200,180.000000,bottom
"R2739","100R","R_2512_6332Metric",62.477400,-38.604200,180.000000,bottom
"R2740","330R","R_0805_2012Metric",60.445400,-62.226200,0.000000,bottom
"R2741","330R","R_0805_2012Metric",67.861400,-9.510200,180.000000,bottom
