Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1303,LL4148,SOD-80,89.384,-40.621,0,top
D1304,LL4148,SOD-80,100.56,-54.337,0,top
D1305,LL4148,SOD-80,94.972,-54.337,0,top
D1306,LL4148,SOD-80,89.384,-54.337,0,top
D1401,LL4148,SOD-80,100.483,-15.311,0,top
D1402,LL4148,SOD-80,94.895,-15.311,0,top
D1403,LL4148,SOD-80,89.307,-15.311,0,top
D1404,LL4148,SOD-80,100.483,-29.027,0,top
D1405,LL4148,SOD-80,94.895,-29.027,0,top
D1406,LL4148,SOD-80,89.307,-29.027,0,top
D1501,LL4148,SOD-80,100.528,-103.022,0,top
D1502,LL4148,SOD-80,94.94,-103.022,0,top
D1503,LL4148,SOD-80,89.352,-103.022,0,top
D1504,LL4148,SOD-80,100.528,-116.738,0,top
D1505,LL4148,SOD-80,94.94,-116.738,0,top
D1506,LL4148,SOD-80,89.352,-116.738,0,top
D1601,LL4148,SOD-80,100.401,-77.355,0,top
D1602,LL4148,SOD-80,94.813,-77.355,0,top
D1603,LL4148,SOD-80,89.225,-77.355,0,top
D1604,LL4148,SOD-80,100.401,-91.071,0,top
D1605,LL4148,SOD-80,94.813,-91.071,0,top
D1606,LL4148,SOD-80,89.225,-91.071,0,top
F301,Fuse_1206,FUSE_1206_3216Metric,227.584,-29.718,0,top
F401,Fuse,FUSE_1206_3216Metric,72.263,-132.588,90,top
F402,Fuse,FUSE_1206_3216Metric,74.803,-132.588,90,top
F403,Fuse,FUSE_1206_3216Metric,69.723,-132.588,90,top
F404,Fuse,FUSE_1206_3216Metric,77.343,-132.588,90,top
F405,Fuse,FUSE_1206_3216Metric,67.183,-132.588,90,top
F406,Fuse,FUSE_1206_3216Metric,79.883,-132.588,90,top
F407,Fuse,FUSE_1206_3216Metric,64.643,-132.588,90,top
F408,Fuse,FUSE_1206_3216Metric,82.423,-132.588,90,top
F409,Fuse,FUSE_1206_3216Metric,62.103,-132.588,90,top
F410,Fuse,FUSE_1206_3216Metric,84.963,-132.588,90,top
F411,Fuse,FUSE_1206_3216Metric,59.563,-132.588,90,top
F412,Fuse,FUSE_1206_3216Metric,87.376,-132.588,90,top
F413,Fuse,FUSE_1206_3216Metric,57.023,-132.588,90,top
F414,Fuse,FUSE_1206_3216Metric,24.003,-132.588,90,top
F415,Fuse,FUSE_1206_3216Metric,54.483,-132.588,90,top
F416,Fuse,FUSE_1206_3216Metric,26.543,-132.588,90,top
F417,Fuse,FUSE_1206_3216Metric,51.943,-132.588,90,top
F418,Fuse,FUSE_1206_3216Metric,29.083,-132.588,90,top
F419,Fuse,FUSE_1206_3216Metric,49.403,-132.588,90,top
F420,Fuse,FUSE_1206_3216Metric,31.623,-132.588,90,top
F421,Fuse,FUSE_1206_3216Metric,46.863,-132.588,90,top
F422,Fuse,FUSE_1206_3216Metric,34.163,-132.588,90,top
F423,Fuse,FUSE_1206_3216Metric,44.323,-132.588,90,top
F424,Fuse,FUSE_1206_3216Metric,36.703,-132.588,90,top
F425,Fuse,FUSE_1206_3216Metric,41.783,-132.588,90,top
F426,Fuse,FUSE_1206_3216Metric,39.243,-132.588,90,top
FB101,Ferrite_Bead,FB_0805_2012Metric,169.164,-65.024,180,top
FB301,Ferrite_Bead,FB_0805_2012Metric,223.266,-29.718,0,top
FB302,Ferrite_Bead,FB_0805_2012Metric,230.251,-22.606,270,top
FB303,Ferrite_Bead,FB_0805_2012Metric,230.251,-19.304,90,top
FB304,Ferrite_Bead,FB_0805_2012Metric,230.251,-16.002,270,top
FB305,Ferrite_Bead,FB_0805_2012Metric,232.283,-16.002,270,top
FB306,Ferrite_Bead,FB_0805_2012Metric,232.283,-19.304,90,top
FB307,Ferrite_Bead,FB_0805_2012Metric,232.283,-22.606,270,top
FB308,Ferrite_Bead,FB_0805_2012Metric,234.315,-22.606,270,top
FB309,Ferrite_Bead,FB_0805_2012Metric,234.315,-19.304,90,top
FB310,Ferrite_Bead,FB_0805_2012Metric,234.315,-16.002,270,top
JP501,0R,zero_ohm_resistor_0805,11.049,-40.259,180,top
JP502,0R,zero_ohm_resistor_0805,32.544,-40.234,0,top
JP503,0R,zero_ohm_resistor_0805,11.787,-55.245,0,top
